pt,en
circulam,circulate
troquem,exchange
km,km
fila,row
trânsito,Traffic
centrado,centered
motorizado,motorized
insustentável,unsustainable
urbanas,urban
sonora,sonorous
ciclável,cycleable
visita,visit
reside,resides
trabalha,works
gira,spin
possibilitar,enable
generalizado,widespread
cria-se,it is created
bem-estar,well-being
divertimento,fun
movimenta,move
montantes,amounts
inimagináveis,unimaginable
enfrenta,face
enormes,huge
seleções,selections
surpreenderia,would surprise
refletissem,reflect
condenáveis,damnable
alvo,target
afetaram,affected
ecossistema,ecosystem
clima,climate
reflexo,reflection
semanalmente,weekly
disciplinar,disciplinary
relatam,report
espalhado,spread
saibam,know
deixem,let
símbolos,symbols
capturados,captured
mistura,mixture
explosiva,explosive
inaceitável,unacceptable
impróprio,improper
civilizado,civilized
inspiradas,inspired
potenciam,potentiate
cargos,positions
fazemos,We do
agregação,aggregation
processamento,processing
algoritmos,algorithms
cálculo,calculation
valioso,valuable
formular,formulate
perfis,profiles
comportamentos,behaviors
discernir,discern
propensões,propensities
venda,sale
multimilionário,billionaire
desenvolvido,developed
designadas,designated
broker,broker
genericamente,generically
designada,designated
utilizações,uses
marketing,marketing
psicológica,psychological
desconhecem,are unaware
detida,detained
utilizam,use
negar-se,refuse
recolha,collection
atentatória,attempt
liberdades,liberties
violadora,violator
privacidade,privacy
agravam-se,get worse
roubos,robberies
ataques,attacks
informáticos,informatics
ciber)segurança,cyber)security
ciberataque,cyber attack
ocorreram,occurred
ransomware,ransomware
dispersos,scattered
singulares,singular
protegido,protected
criada,created
digital,digital
desadequação,inadequacy
cria,create
promoveu,promoted
reforma,remodeling
introduzindo,introducing
pacote,package
entrará,will enter
maio,May
vulneráveis,vulnerable
wannacry,wannacry
confirmam,confirm
inglesa,English
2018-19,2018-19
encurtar,shorten
janela,window
importação,import
ingleses,English
fechar,close
apito,whistle
agendado,scheduled
colocação,placing
entraves,obstacles
temporal,temporal
render,render
dispostos,willing
barreiras,barriers
inglês,English
folha,leaf
agosto,August
encerramento,closure
contratações,signings
observação,Note
agenciamento,agency
subir,move up
claramente,clearly
managers,managers
compensações,compensations
diamante,Diamond
polido,polished
bruto,gross
procurarão,will look for
aquisições,acquisitions
rumores,rumors
fechará,close the
fama,fame
admissível,admissible
admitido,admitted
sobrantes,leftovers
rótulo,label
depreciativo,derogatory
slogan,slogan
identificação,identification
importações,imports
vindas,welcome
virou-se,turned around
feitiço,spell
feiticeiro,Sorcerer
rotação,rotation
perspetiva,perspective
especialidade,specialty
lançamento,launch
adicionalmente,additionally
definido,defined
exportação,export
continuará,will continue
permitida,allowed
adquirentes,acquirers
britânicos,British people
pequenos,small
domésticos,domestic
poderosas,powerful
pechinchas,bargains
milionária,millionaire
inscrição,subscription
agente,agent
vinhos,wines
tecnológicos,technological
iguais,equals
conhecimentos,knowledge
viticultores,winegrowers
aleatoriedade,randomness
imprevisibilidade,unpredictability
fascina,fascinates
vindima,vintage
exemplar,exemplary
colheita,harvest
antecipada,anticipated
atribuem,attribute
dióxido,dioxide
atmosfera,atmosphere
preponderante,preponderant
colheitas,crops
facilita,facilitates
açúcar,sugar
duplicaram,doubled
álcool,alcohol
nutrientes,nutrients
proteínas,proteins
sais,salts
minerais,minerals
hidratos,hydrates
frutose,fructose
hidrato,hydrate
uvas,grape
equilibradas,balanced
tipos,types
maturação,maturation
relevo,relief
quentes,hot
alcoólica,alcoholic
fenólica,phenolic
corresponde,corresponds
aromas,scents
taninos,tannins
compostos,compounds
vinho,wine
ocorreu,occurred
viticultor,winegrower
enólogo,winemaker
privilegiar,privilege
colher,Spoon
maduras,mature
amargas,bitter
acidez,acidity
consumidor,consumer
viticultura,viticulture
amenas,mild
cotas,quotas
utilizar,use
castas,castes
resistentes,resistant
recorrer,to resort
rega,watering
drástica,drastic
dispendiosa,expensive
baixar,to go down
adição,addition
água,Water
fermentação,fermentation
heresia,heresy
dizê-lo,say it
adicionar,to add
baptizar,baptize
gíria,slang
enólogos,winemakers
tremendo,shivering
enológico,oenological
graduações,graduations
climas,climates
frios,cold
champanhe,champagne
borgonha,Burgundy
mosto,wort
concentrado,focused
chaptalização,chaptalization
reservas,reservations
acidificação,acidification
praticada,practiced
incluído,included
atirar,shoot
pedras,stones
certa,certain
mecânicos,mechanics
adequar,suit
privilegiam,privilege
alcoólicos,alcoholics
repor,replenish
explicaria,would explain
barragens,dams
correlacionado,correlated
registos,records
cheias,floods
concluir,conclude
frequência,frequency
observada,observed
consecutivas,consecutive
anomalia,anomaly
provocada,provoked
climáticas,climatic
antropogénicas,anthropogenic
trenberth,trenberth
enfrentar,face
preocupantes,worrying
perigosamente,dangerously
áridos,arid
adaptar-nos,adapt ourselves
contingência,contingency
máxima,maximum
atingiam,reached
anual,Yearly
previsível,predictable
planear,plan
calcular,calculate
levadas,taken
tremendas,tremendous
canibalismo,cannibalism
hierarquia,hierarchy
centralizadora,centralizing
adotou,adopted
impunham,impose
faraó,Pharaoh
proteger,protect
fracos,weak
adversidade,adversity
embrionária,embryonic
precipitação,precipitation
diminuir,to decrease
balcânica,balkan
palestina,Palestine
síria,Syria
gravíssima,very serious
terminar,finish
chover,to rain
abundantemente,abundantly
chuva,rain
m.,m.
convoca-nos,summon us
metafísica,metaphysics
mistério,mystery
perigo,danger
estruturação,structuring
impediria,would prevent
conhecermos,we meet
consideramos,we consider
positivos,positives
benéficos,beneficial
extenso,extensive
queiramos,let's want
incorpora,incorporates
fornece,provides
produtos,products
métodos,methods
expressas,expressed
conjunturalmente,cyclically
correctas,correct
correspondiam,corresponded
reconhecidos,recognized
energia,energy
nuclear,nuclear
superinteligência,superintelligence
concentrada,concentrated
artefacto,artifact
muda,change
radicalmente,radically
discutia-se,was discussed
dispositivos,devices
potentes,potent
montem,mount
autonomizar,empower
cognitivas,cognitive
aprendizagem,learning
transpor,transpose
rubicão,rubicon
pode-se,you can
passíveis,liable
corrigidos,corrected
anulados,canceled
resultava,resulted
conceptualmente,conceptually
descreveu,described
lapidar,lapidate
criatura,creature
criador,creator
suscitar,arouse
envolta,wrapped
ilusão,illusion
positiva,positive
fascínio,fascination
criança,kid
manifestação,manifestation
génese,genesis
longínqua,distant
resultante,resulting
hipotética,hypothetical
rotura,rupture
mágica,magic
primitiva,primitive
decomposta,decomposed
técnicas,techniques
simétricas,symmetrical
opostas,opposites
variedade,variety
homeostasia,homeostasis
poupança,savings
humanas,human
denso,dense
compacto,compact
reduzido,reduced
esquemas,schemes
simbiose,symbiosis
evoluiu,evolved
plasticidades,plasticities
adaptações,adaptations
imprevisíveis,unpredictable
criativas,creative
teste,test
turing,turing
abraço,hug
carícia,caress
beijo,kiss
manifestações,manifestations
avanços,advances
sensata,sensible
horríveis,horrible
aperfeiçoar-se,perfect yourself
e.g.,e.g.
precaução,precaution
engenheiros,engineers
aprendemos,we learn
interruptor,light switch
encerrar,close
robots,robots
inadequados,inappropriate
recuos,setbacks
pontuada,dotted
discriminação,discrimination
humilhação,humiliation
sexo,sex
certificado,certificate
feminilidade,femininity
hiperandrogenismo,hyperandrogenism
descrever,to describe
testosterona,testosterone
resistência,resistance
variações,variations
genéticas,genetics
competirem,compete
naturais,natural
hemoglobina,hemoglobin
norma,standard
estabelecida,established
impedidos,impeded
prove,prove
fisiológicos,physiological
procuram,look for
biológicas,biological
fronteira,border
biológica,biological
mulher,women
ambígua,ambiguous
genitais,genitals
externos,external
cromossomas,chromosomes
genes,genes
averiguações,inquiries
suspeitas,suspicions
desfecho,outcome
tribunal,court
considera,considers
competitiva,competitive
proporcional,proportional
iaaf,yaaf
reconsiderar,reconsider
interdição,interdiction
aplicações,applications
inovadoras,innovative
focalização,focusing
justificada,justified
implosão,implosion
absurda,absurd
facilitismo,easiness
substituem,replace
realistas,realistic
conhecedoras,connoisseurs
subsequente,subsequent
inovação,innovation
eleve,he sees
experimentalismo,experimentalism
ingénua,naive
perceção,perception
popular,popular
startups,startups
inventámos,we invented
brexit,brexit
startup,startup
mortalidade,mortality
conceptualização,conceptualization
varia,varies
berlim,Berlin
lideram,lead
tecnológicas,technological
listadas,listed
nasdaq,nasdaq
surge,comes up
minúsculo,tiny
sobrevalorização,overvaluation
implodirá,will implode
parcialmente,partially
detestem,hate
empreendedorismo,entrepreneurship
orientados,oriented
ambientes,environments
profissionalismo,professionalism
incubadoras,incubators
aceleradoras,accelerators
crie,create
ingenuidade,naivety
motor,motor
encontros,encounters
promotores,promoters
financiadores,financiers
festival,festival
rock,rock
desfile,parade
celebridades,celebrities
imagens,images
convívio,conviviality
noturno,nocturnal
bairro,district
brilhante,brillant
modesto,modest
conhecedor,knowledgeable
honesto,honest
realista,realist
inexperiência,inexperience
possuem,have
inovadores,innovators
disruptivas,disruptive
disseminar,Disseminate
locais,locations
pequim,Beijing
shanghai,shanghai
projetam-se,protrude
pujança,strength
assustadora,scary
cripto-moedas,cryptocurrencies
tornaram-se,became
irresistível,irresistible
histérica,hysterical
excedem,exceed
rondando,prowling
novembro,November
tokens,tokens
subscrição,underwriting
equity,equity
ocorria,occurred
suspensão,suspension
temporária,temporary
inteira,entire
grudados,stuck together
rádio,radio
pilha,battery
batendo,knocking
narração,narration
chegava,arrived
sentimento,feeling
testemunhas,witnesses
palco,stage
privilegiado,privileged
revelar,to reveal
supostamente,supposedly
ocorre,occurs
temia,feared
atinge,hits
cheio,full
pretensões,pretensions
catar,Qatar
sobreviver,survive
sede,thirst
ex-dirigente,former leader
argentino,Argentine
receptor,receiver
árabes,arabs
torcedor,fan
descobrir,to discover
comprados,bought
executivos,executives
levados,taken
pagaram,paid
propinas,tuition fees
torneios,tournaments
tratava,treated
julgamento,judgment
cúmplices,accomplices
entranhas,entrails
escaparam,escaped
latina,latina
citados,cited
esquema,scheme
mencionada,mentioned
supostas,supposed
copas,hearts
cronista,chronicler
constatava,noticed
superava,surpassed
existências,stocks
gramados,lawns
banco,Bank
réus,defendants
peruano,Peruvian
burga,burga
paraguaio,Paraguayan
insistiam,insisted
inocentes,innocent
cobrando,charging
subornos,bribes
quisesse,wanted
citado,cited
indiciados,indicted
pagamentos,payments
confirmaram,confirmed
golfo,gulf
prestes,about
estourou,burst
iria,would go
fracassou,failed
francesa,french
sarkozy,sarkozy
encontrou,found
eliseu,elysees
príncipe,Prince
herdeiro,heir
assistida,assisted
camisa,shirt
comprada,purchased
financiou,funded
secretas,secret
suíça,Switzerland
paraísos,paradises
admiração,admiration
arquitecto,architect
aceitei,I accepted
grado,degree
convite,invitation
dirigido,directed
atelier,atelier
atitlan,atitlan
estate,estate
imóveis,properties
comprometesse,commit
pensam,think
planificam,plan
contemplar,contemplate
tribos,tribes
vivência,experience
dando-lhes,giving them
activamente,actively
participarem,to participate in
construtiva,constructive
transforma-se,transforms
adapta-se,adapts
regenera-se,regenerate
reinventa-se,reinvent yourself
artísticas,artistic
ocasionar,cause
prezo,price
prematura,premature
mal-informada,ill-informed
defendi,defended
estático,static
vivê-la,live there
ambição,ambition
gerem,manage
construtivo,constructive
partilhar,share
ilustre,illustrious
olivalense,olive grove
dá-me,give me
lista,list
destacando,highlighting
artes,Art
extensa,extensive
condicionada,conditioned
acreditar,to believe
sonho,dream
apaixonar-se,to fall in love
afirmado,affirmed
consideraram,considered
periférico,peripheral
galardoado,awarded
prémio,award
awards,awards
distinção,distinction
concidadãos,fellow citizens
volumetrias,volumes
praças,squares
alteradas,changed
reconstrução,reconstruction
séc,century
hotel,Hotel
metrópole,metropolis
pedido,request
pormenor,detail
salvaguarda,safeguard
revestimentos,coatings
primitivos,primitives
encontravam,they found
rebocadas,towed
pintadas,painted
devia,should
respondido,answered
monumento,monument
garantindo,ensuring
íntegra,intact
exteriores,exteriors
reacção,reaction
vigente,in force
mansardas,attic
pombalinas,doves
trapeirão,trapeirão
gaiolas,cages
sacrificado,sacrificed
juntamente,together
escadaria,staircase
pombalino,pombalino
infeliz,unhappy
conhecido,known
preconizado,advocated
betonizado,concreted
monolítico,monolithic
híbrido,hybrid
plastificado,plasticized
produto,product
nivelamento,leveling
originais,originals
reguladora,regulatory
ouviram,heard
fizeram-no,they did it
abandonou,abandoned
escolhas,choices
geridas,managed
percorre,walks
som,sound
viral,viral
ultrapassada,outdated
